DOI,Journal,Year,Material,Material_Class,Doping,Gas,DFT_Software,Functional,Adsorption_Energy_eV,Charge_Transfer_e,Adsorption_Distance_A,Bandgap_Before_eV,Bandgap_After_eV,Bandgap_Change_eV,WorkFunction_Before_eV,WorkFunction_After_eV,WorkFunction_Change_eV,Sensitivity,Selectivity,Response_Time,Recovery_Time,Detection_Limit
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,NA,NH3,Abinit,PBE,0.0201,0.026,3.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,NA,NH3,Abinit,PBE,0.0308,0.027,3.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,NA,NH3,Abinit,PBE,0.0147,0.001,4.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,NA,NH3,Abinit,PBE,0.0156,0.0,3.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,NA,NH3,Abinit,PBE,0.0247,-0.001,3.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,NA,CO,Abinit,PBE,0.01,0.019,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,NA,CO,Abinit,PBE,0.0096,0.019,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,NA,CO,Abinit,PBE,0.0131,0.019,3.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,NA,CO,Abinit,PBE,0.0084,0.009,3.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,NA,CO,Abinit,PBE,0.0096,0.01,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,NA,CO,Abinit,PBE,0.014,0.013,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,NA,CO,Abinit,PBE,0.0141,0.012,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,NA,NO2,Abinit,PBE,0.0674,-0.099,3.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,NA,NO2,Abinit,PBE,0.0653,-0.099,3.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,NA,NO2,Abinit,PBE,0.0626,-0.098,3.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,NA,NO2,Abinit,PBE,0.0547,-0.089,3.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,NA,NO2,Abinit,PBE,0.0545,-0.09,3.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,NA,NO2,Abinit,PBE,0.0667,-0.102,3.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,NA,NO,Abinit,PBE,0.0157,0.006,4.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,NA,NO,Abinit,PBE,0.014,0.006,4.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,NA,NO,Abinit,PBE,0.0126,0.007,4.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,NA,NO,Abinit,PBE,0.0106,0.005,4.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,NA,NO,Abinit,PBE,0.0279,0.018,3.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1103/PhysRevB.77.125416,Physical Review B,2008,Graphene,2D Carbon,NA,NO,Abinit,PBE,0.0285,0.017,3.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.cplett.2014.01.043,Chemical Physics Letters,2014,MoS2,TMD,NA,CO,VASP,PBE,-0.003,NA,3.5,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.cplett.2014.01.043,Chemical Physics Letters,2014,MoS2,TMD,NA,CO,VASP,DFT-D2,-0.073,NA,3.5,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.cplett.2014.01.043,Chemical Physics Letters,2014,MoS2,TMD,NA,CO,VASP,optPBE-vdw,-0.163,NA,3.5,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.cplett.2014.01.043,Chemical Physics Letters,2014,MoS2,TMD,NA,CO,VASP,revPBE-vdw,-0.143,NA,3.5,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.cplett.2014.01.043,Chemical Physics Letters,2014,MoS2,TMD,NA,CO2,VASP,PBE,-0.004,NA,3.18,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.cplett.2014.01.043,Chemical Physics Letters,2014,MoS2,TMD,NA,CO2,VASP,DFT-D2,-0.139,NA,3.18,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.cplett.2014.01.043,Chemical Physics Letters,2014,MoS2,TMD,NA,CO2,VASP,optPBE-vdw,-0.253,NA,3.18,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.cplett.2014.01.043,Chemical Physics Letters,2014,MoS2,TMD,NA,CO2,VASP,revPBE-vdw,-0.21,NA,3.18,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.cplett.2014.01.043,Chemical Physics Letters,2014,MoS2,TMD,NA,NH3,VASP,PBE,-0.009,NA,NA,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.cplett.2014.01.043,Chemical Physics Letters,2014,MoS2,TMD,NA,NH3,VASP,DFT-D2,-0.127,NA,NA,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.cplett.2014.01.043,Chemical Physics Letters,2014,MoS2,TMD,NA,NH3,VASP,optPBE-vdw,-0.176,NA,NA,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.cplett.2014.01.043,Chemical Physics Letters,2014,MoS2,TMD,NA,NH3,VASP,revPBE-vdw,-0.13,NA,NA,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.cplett.2014.01.043,Chemical Physics Letters,2014,MoS2,TMD,NA,NO,VASP,PBE,-0.066,NA,NA,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.cplett.2014.01.043,Chemical Physics Letters,2014,MoS2,TMD,NA,NO,VASP,DFT-D2,-0.153,NA,NA,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.cplett.2014.01.043,Chemical Physics Letters,2014,MoS2,TMD,NA,NO,VASP,optPBE-vdw,-0.254,NA,NA,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.cplett.2014.01.043,Chemical Physics Letters,2014,MoS2,TMD,NA,NO,VASP,revPBE-vdw,-0.239,NA,NA,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.cplett.2014.01.043,Chemical Physics Letters,2014,MoS2,TMD,NA,NO2,VASP,PBE,-0.036,-0.034,NA,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.cplett.2014.01.043,Chemical Physics Letters,2014,MoS2,TMD,NA,NO2,VASP,DFT-D2,-0.138,-0.034,NA,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.cplett.2014.01.043,Chemical Physics Letters,2014,MoS2,TMD,NA,NO2,VASP,optPBE-vdw,-0.287,-0.034,NA,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.cplett.2014.01.043,Chemical Physics Letters,2014,MoS2,TMD,NA,NO2,VASP,revPBE-vdw,-0.241,-0.034,NA,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1186/1556-276X-8-425,Nanoscale Research Letters,2013,MoS2,TMD,NA,H2,VASP,LSDA,-0.082,0.004,NA,1.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1186/1556-276X-8-425,Nanoscale Research Letters,2013,MoS2,TMD,NA,O2,VASP,LSDA,-0.116,0.04,NA,1.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
