DOI,Journal,Year,Material,Material_Class,Doping,Gas,DFT_Software,Functional,Adsorption_Energy_eV,Charge_Transfer_e,Adsorption_Distance_A,Bandgap_Before_eV,Bandgap_After_eV,Bandgap_Change_eV,WorkFunction_Before_eV,WorkFunction_After_eV,WorkFunction_Change_eV,Sensitivity,Selectivity,Response_Time,Recovery_Time,Detection_Limit
10.1039/D4CP04127E,Physical Chemistry Chemical Physics,2025,Ti3C2O2,MXene,NA,NH3,NA,NA,-0.344,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA
10.1039/D4CP04127E,Physical Chemistry Chemical Physics,2025,Ti3C2O2,MXene,NA,NO,NA,NA,-0.349,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA
10.1039/D4CP04127E,Physical Chemistry Chemical Physics,2025,Ti3C2O2,MXene,NA,NH3,NA,NA,-0.551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/D4CP04127E,Physical Chemistry Chemical Physics,2025,Ti3C2O2,MXene,NA,NO,NA,NA,-0.403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,NA,N2,Quantum ESPRESSO,PBE-GGA,0.4,0.067,3.807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,NA,N2,Quantum ESPRESSO,PBE-GGA,0.4,0.067,3.807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,NA,N2,Quantum ESPRESSO,PBE-GGA,0.4,0.067,2.936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,NA,H2,Quantum ESPRESSO,PBE-GGA,0.4,0.067,3.807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,NA,H2,Quantum ESPRESSO,PBE-GGA,0.4,0.067,3.807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,NA,H2,Quantum ESPRESSO,PBE-GGA,0.4,0.067,2.936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,NA,CO2,Quantum ESPRESSO,PBE-GGA,0.4,0.067,3.807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,NA,CO2,Quantum ESPRESSO,PBE-GGA,0.4,0.067,3.807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,NA,CO2,Quantum ESPRESSO,PBE-GGA,0.4,0.067,2.936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,NA,NH3,Quantum ESPRESSO,PBE-GGA,0.55,0.022,2.594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,NA,H2S,Quantum ESPRESSO,PBE-GGA,0.8,0.006,2.842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,NA,H2O,Quantum ESPRESSO,PBE-GGA,0.63,0.004,2.401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,NA,CO2,Quantum ESPRESSO,PBE-GGA,1.38,1.273,2.089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,NA,CO2,Quantum ESPRESSO,PBE-GGA,0.26,0.021,2.666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,NA,CO2,Quantum ESPRESSO,PBE-GGA,0.28,0.039,2.979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,NA,CO,Quantum ESPRESSO,PBE-GGA,1.07,0.989,1.478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,NA,CO,Quantum ESPRESSO,PBE-GGA,0.78,0.972,1.707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,NA,CO,Quantum ESPRESSO,PBE-GGA,0.73,0.499,2.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,NA,NO,Quantum ESPRESSO,PBE-GGA,3.19,2.051,1.439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,NA,NO,Quantum ESPRESSO,PBE-GGA,3.19,2.051,1.439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,NA,NO,Quantum ESPRESSO,PBE-GGA,3.19,2.051,1.439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,NA,NO2,Quantum ESPRESSO,PBE-GGA,2.72,1.058,2.193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,NA,NO2,Quantum ESPRESSO,PBE-GGA,2.47,0.871,2.394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,NA,NO2,Quantum ESPRESSO,PBE-GGA,2.32,0.835,2.317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,NA,O2,Quantum ESPRESSO,PBE-GGA,3.64,1.342,2.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,NA,O2,Quantum ESPRESSO,PBE-GGA,3.64,1.339,2.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,NA,O2,Quantum ESPRESSO,PBE-GGA,2.61,1.261,2.086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,NA,SO2,Quantum ESPRESSO,PBE-GGA,1.93,0.827,1.874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,NA,SO2,Quantum ESPRESSO,PBE-GGA,0.89,0.469,2.227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,NA,SO2,Quantum ESPRESSO,PBE-GGA,1.48,0.692,2.187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.5162/IMCS2010/P1.3.21,Proceedings IMCS,2010,SnO2,Metal Oxide,NA,NH3,VASP,r-PBE,-1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.5162/IMCS2010/P1.3.21,Proceedings IMCS,2010,SnO2,Metal Oxide,NA,NH3,VASP,r-PBE,-0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.5162/IMCS2010/P1.3.21,Proceedings IMCS,2010,SnO2,Metal Oxide,NA,NH3,VASP,r-PBE,-1.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/D2CP01234H,Doctoral thesis / literature compilation (UCL),2022,SnO2,Metal Oxide,NA,NH3,NA,DFT-GGA,-1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/D2CP01234H,Doctoral thesis / literature compilation (UCL),2022,SnO2,Metal Oxide,NA,NH3,NA,DFT-GGA,-1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/D2CP01234H,Doctoral thesis / literature compilation (UCL),2022,SnO2,Metal Oxide,NA,NH3,NA,DFT-GGA,-0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/D2CP01234H,Doctoral thesis / literature compilation (UCL),2022,SnO2,Metal Oxide,NA,NH3,NA,DFT-GGA,-1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/D2CP01234H,Doctoral thesis / literature compilation (UCL),2022,SnO2,Metal Oxide,NA,NH3,NA,DFT-GGA,-1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/D2CP01234H,Doctoral thesis / literature compilation (UCL),2022,SnO2,Metal Oxide,NA,NH3,NA,DFT-GGA,-2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.snb.2006.08.054,Sensors and Actuators B: Chemical,2006,SnO2,Metal Oxide,NA,NO,SIESTA,GGA,-1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1088/1742-6596/3042/1/012026,Journal of Physics: Conference Series,2024,SnO2,Metal Oxide,NA,NO2,NA,NA,-0.004,NA,3.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1088/1742-6596/3042/1/012026,Journal of Physics: Conference Series,2024,SnO2,Metal Oxide,NA,NO2,NA,NA,-0.24,NA,2.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C3NR06670C,Nanoscale,2014,MoS2,TMD,NA,NO,NA,NA,-0.54,0.085,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C3NR06670C,Nanoscale,2014,MoS2,TMD,NA,NO2,NA,NA,-0.94,0.04,2.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C3NR06670C,Nanoscale,2014,MoS2,TMD,NA,CO,NA,NA,-0.42,0.01,2.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C3NR06670C,Nanoscale,2014,MoS2,TMD,NA,CO2,NA,NA,-0.45,0.013,2.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C3NR06670C,Nanoscale,2014,MoS2,TMD,NA,NH3,NA,NA,-0.49,0.085,2.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C3NR06670C,Nanoscale,2014,MoS2,TMD,NA,NO,NA,NA,-0.72,0.24,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C3NR06670C,Nanoscale,2014,MoS2,TMD,NA,NO2,NA,NA,-0.91,0.06,2.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C3NR06670C,Nanoscale,2014,MoS2,TMD,NA,CO,NA,NA,-0.43,0.01,2.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C3NR06670C,Nanoscale,2014,MoS2,TMD,NA,CO2,NA,NA,-0.47,0.016,2.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C3NR06670C,Nanoscale,2014,MoS2,TMD,NA,NH3,NA,NA,-0.55,0.09,2.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1038/srep08052,Scientific Reports,2014,MoS2,TMD,NA,NO2,NA,HSE06,-0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1038/srep08052,Scientific Reports,2014,MoS2,TMD,NA,NH3,NA,HSE06,-0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,NA,H2,CASTEP,GGA-PBE,-0.05927,-0.05,NA,1.721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,NA,N2,CASTEP,GGA-PBE,-0.10482,0.01,NA,1.721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,NA,CO,CASTEP,GGA-PBE,-0.12183,0.01,NA,1.721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,NA,CO2,CASTEP,GGA-PBE,-0.16891,-0.03,NA,1.721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,NA,CH4,CASTEP,GGA-PBE,-0.1711,-0.05,NA,1.721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,NA,H2O,CASTEP,GGA-PBE,-0.16602,-0.03,NA,1.721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,NA,NH3,CASTEP,GGA-PBE,-0.1776,-0.01,NA,1.721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,NA,NO,CASTEP,GGA-PBE,-0.21875,0.0,NA,1.721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,NA,NO2,CASTEP,GGA-PBE,-0.28799,-0.12,NA,1.721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,vacancy,NH3,CASTEP,GGA-PBE,-0.17119,NA,NA,1.721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,vacancy,NH3,CASTEP,GGA-PBE,-0.16164,NA,NA,1.721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,vacancy,NO2,CASTEP,GGA-PBE,-1.02272,NA,NA,1.721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,vacancy,NO2,CASTEP,GGA-PBE,-0.28291,NA,NA,1.721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,vacancy,NO,CASTEP,GGA-PBE,-1.26054,NA,NA,1.721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,vacancy,NO,CASTEP,GGA-PBE,-3.0592,NA,NA,1.721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,NA,NH3,CASTEP,GGA-PBE,-0.20828,NA,NA,1.721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,NA,NH3,CASTEP,GGA-PBE,-0.241,NA,NA,1.721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,NA,NH3,CASTEP,GGA-PBE,-0.25679,NA,NA,1.721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,NA,NO2,CASTEP,GGA-PBE,-0.31376,NA,NA,1.721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,NA,NO2,CASTEP,GGA-PBE,-0.32481,NA,NA,1.721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,NA,NO2,CASTEP,GGA-PBE,-0.34074,NA,NA,1.721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,NA,NO,CASTEP,GGA-PBE,-0.22992,NA,NA,1.721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,NA,NO,CASTEP,GGA-PBE,-0.25684,NA,NA,1.721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,NA,NO,CASTEP,GGA-PBE,-0.27902,NA,NA,1.721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.cplett.2018.10.057,Chemical Physics Letters,2018,Al-doped MoS2,TMD,Al,SO2,NA,DFT,-2.33,-0.343,1.763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,NA,H2,VASP,LDA,-0.068,NA,2.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,NA,H2,VASP,LDA,-0.075,NA,2.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,NA,H2,VASP,LDA,-0.037,NA,2.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,NA,O2,VASP,LDA,-0.184,NA,2.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,NA,O2,VASP,LDA,-0.213,NA,2.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,NA,O2,VASP,LDA,-0.119,NA,3.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,NA,H2O,VASP,LDA,-0.229,NA,2.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,NA,H2O,VASP,LDA,-0.218,NA,2.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,NA,H2O,VASP,LDA,-0.108,NA,3.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,NA,NH3,VASP,LDA,-0.216,NA,2.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,NA,NH3,VASP,LDA,-0.201,NA,2.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,NA,NH3,VASP,LDA,-0.062,NA,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,NA,NO,VASP,LDA,-0.129,NA,2.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,NA,NO,VASP,LDA,-0.206,NA,2.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,NA,NO,VASP,LDA,-0.099,NA,3.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,NA,NO,VASP,LDA,-0.215,NA,2.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,NA,NO2,VASP,LDA,-0.412,NA,2.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,NA,NO2,VASP,LDA,-0.354,NA,2.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,NA,NO2,VASP,LDA,-0.333,NA,2.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,NA,CO,VASP,LDA,-0.127,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,NA,CO,VASP,LDA,-0.111,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,NA,CO,VASP,LDA,-0.031,NA,2.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,NA,CO,VASP,LDA,-0.075,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3390/computation11120235,Computation,2023,Graphene,2D Carbon,NA,SO2,DMol3,GGA-PBE,-0.32,-0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3390/computation11120235,Computation,2023,N-doped Graphene,2D Carbon,N,SO2,DMol3,GGA-PBE,-0.48,-0.236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3390/computation11120235,Computation,2023,Ga-doped Graphene,2D Carbon,Ga,SO2,DMol3,GGA-PBE,-2.61,-0.148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3390/computation11120235,Computation,2023,N-Ga co-doped Graphene,2D Carbon,N-Ga,SO2,DMol3,GGA-PBE,-2.75,-0.258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3390/computation11120235,Computation,2023,N-Ga co-doped Graphene,2D Carbon,N-Ga,SO2,DMol3,GGA-PBE,-2.55,-0.214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3390/computation11120235,Computation,2023,N-Ga co-doped Graphene,2D Carbon,N-Ga,SO2,DMol3,GGA-PBE,-2.53,-0.218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3390/molecules29215086,Molecules,2024,Co-MoTe2,TMD,Co,CO,CASTEP,GGA-PBE,-0.167,-0.032,3.522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3390/molecules29215086,Molecules,2024,Co-MoTe2,TMD,Co,CH3CHO,CASTEP,GGA-PBE,-0.392,-0.084,3.288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3390/molecules29215086,Molecules,2024,Co-MoTe2,TMD,Co,C6H6,CASTEP,GGA-PBE,-0.667,-0.083,3.558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3390/molecules29215086,Molecules,2024,V-MoTe2,TMD,V,CO,CASTEP,GGA-PBE,-1.221,-0.832,1.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3390/molecules29215086,Molecules,2024,V-MoTe2,TMD,V,CH3CHO,CASTEP,GGA-PBE,-0.405,-0.082,3.151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3390/molecules29215086,Molecules,2024,V-MoTe2,TMD,V,C6H6,CASTEP,GGA-PBE,-0.711,0.22,3.447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3390/molecules29215086,Molecules,2024,W-MoTe2,TMD,W,CO,CASTEP,GGA-PBE,-0.515,-0.119,2.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3390/molecules29215086,Molecules,2024,W-MoTe2,TMD,W,CH3CHO,CASTEP,GGA-PBE,-0.386,-0.079,3.383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3390/molecules29215086,Molecules,2024,W-MoTe2,TMD,W,C6H6,CASTEP,GGA-PBE,-0.618,-0.063,3.708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3390/molecules29215086,Molecules,2024,Zr-MoTe2,TMD,Zr,CO,CASTEP,GGA-PBE,-0.592,-0.046,2.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3390/molecules29215086,Molecules,2024,Zr-MoTe2,TMD,Zr,CH3CHO,CASTEP,GGA-PBE,-0.439,-0.063,3.512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3390/molecules29215086,Molecules,2024,Zr-MoTe2,TMD,Zr,C6H6,CASTEP,GGA-PBE,-0.8,-0.085,3.685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3390/molecules27103176,Molecules,2022,Au-MoTe2,TMD,Au,SO2,CASTEP,GGA-PBE,-0.98,-0.259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3390/molecules27103176,Molecules,2022,Ag-MoTe2,TMD,Ag,SO2,CASTEP,GGA-PBE,-0.81,-0.341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3390/molecules27103176,Molecules,2022,Cu-MoTe2,TMD,Cu,SO2,CASTEP,GGA-PBE,-1.18,-0.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
