material_absorber,absorber_band_gap_eV,phase,heat_of_formation_eV_per_atom,source_doi,source_paper
K2TlBiBr6 (cubic),0.5501,cubic,-1.130251,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2TlGaBr6 (cubic),1.334,cubic,-1.130274,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2TlInBr6 (cubic),1.5368,cubic,-1.165677,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2TlSbBr6 (cubic),0.5557,cubic,-1.085567,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AgAlBr6 (cubic),1.045,cubic,-1.206226,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AgAsBr6 (cubic),0.7293,cubic,-0.972467,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AgBiBr6 (cubic),1.1156,cubic,-1.09423,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AgInBr6 (cubic),0.1505,cubic,-1.119241,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AgSbBr6 (cubic),0.8142,cubic,-1.049092,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AuBiBr6 (cubic),0.105,cubic,-0.993738,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2CuAsBr6 (cubic),0.195,cubic,-0.929802,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2CuBiBr6 (cubic),0.5582,cubic,-1.050742,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2CuSbBr6 (cubic),0.3028,cubic,-1.006316,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2InAlBr6 (cubic),1.8871,cubic,-1.27556,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2InAsBr6 (cubic),0.0308,cubic,-1.04423,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2InBiBr6 (cubic),0.1087,cubic,-1.154328,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2InGaBr6 (cubic),0.8699,cubic,-1.172031,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2InInBr6 (cubic),0.6885,cubic,-1.18539,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2InSbBr6 (cubic),0.0204,cubic,-1.111678,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2TlAlBr6 (cubic),2.5847,cubic,-1.308571,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2TlAsBr6 (cubic),0.7202,cubic,-1.059423,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2TlBiBr6 (cubic),0.59,cubic,-1.17844,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2TlGaBr6 (cubic),1.3803,cubic,-1.172269,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2TlInBr6 (cubic),1.5726,cubic,-1.210963,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2TlSbBr6 (cubic),0.6199,cubic,-1.13275,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AgAlCl6 (cubic),2.1892,cubic,-1.515996,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AgAsCl6 (cubic),1.2792,cubic,-1.203502,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AgBiCl6 (cubic),1.5671,cubic,-1.34394,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AgGaCl6 (cubic),0.9376,cubic,-1.34215,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AgInCl6 (cubic),1.0098,cubic,-1.380609,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AgSbCl6 (cubic),1.3481,cubic,-1.293616,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AuAlCl6 (cubic),0.3603,cubic,-1.375647,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AuAsCl6 (cubic),0.0619,cubic,-1.088406,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
