material_absorber,absorber_band_gap_eV,phase,heat_of_formation_eV_per_atom,source_doi,source_paper
K2TlBiI6 (cubic),0.2017,cubic,-0.842896,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2TlGaI6 (cubic),0.4112,cubic,-0.804781,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2TlInI6 (cubic),0.7302,cubic,-0.852193,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2TlSbI6 (cubic),0.26,cubic,-0.803095,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AgAsI6 (cubic),0.2286,cubic,-0.709216,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AgBiI6 (cubic),0.6313,cubic,-0.815377,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AgSbI6 (cubic),0.3161,cubic,-0.775544,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2CuBiI6 (cubic),0.2673,cubic,-0.760549,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2InAlI6 (cubic),0.8605,cubic,-0.91339,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2InAsI6 (cubic),0.1418,cubic,-0.77554,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2InBiI6 (cubic),0.3498,cubic,-0.871233,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2InGaI6 (cubic),0.1844,cubic,-0.86199,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2InSbI6 (cubic),0.2129,cubic,-0.8338,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2TlAlI6 (cubic),1.3442,cubic,-0.941399,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2TlAsI6 (cubic),0.4124,cubic,-0.787352,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2TlBiI6 (cubic),0.2375,cubic,-0.891903,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2TlGaI6 (cubic),0.449,cubic,-0.849157,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2TlInI6 (cubic),0.7552,cubic,-0.899124,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2TlSbI6 (cubic),0.3028,cubic,-0.851161,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AgAlBr6 (orthorhombic),1.0258,orthorhombic,-1.240555,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AgAsBr6 (orthorhombic),0.7785,orthorhombic,-1.012823,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AgBiBr6 (orthorhombic),1.1666,orthorhombic,-1.145992,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AgGaBr6 (orthorhombic),0.5295,orthorhombic,-1.113948,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AgInBr6 (orthorhombic),0.3022,orthorhombic,-1.162708,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AgSbBr6 (orthorhombic),0.8555,orthorhombic,-1.09733,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AuAlBr6 (orthorhombic),2.2396,orthorhombic,-1.164638,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AuBiBr6 (orthorhombic),0.1715,orthorhombic,-1.046326,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AuGaBr6 (orthorhombic),1.2103,orthorhombic,-1.051634,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AuInBr6 (orthorhombic),1.2281,orthorhombic,-1.083947,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2CuAlBr6 (orthorhombic),1.5463,orthorhombic,-1.18767,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2CuAsBr6 (orthorhombic),0.201,orthorhombic,-0.959181,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2CuBiBr6 (orthorhombic),0.5429,orthorhombic,-1.093398,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2CuGaBr6 (orthorhombic),0.7958,orthorhombic,-1.079646,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2CuInBr6 (orthorhombic),0.4291,orthorhombic,-1.115999,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2CuSbBr6 (orthorhombic),0.3218,orthorhombic,-1.045693,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2InAlBr6 (orthorhombic),2.0668,orthorhombic,-1.325737,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2InAsBr6 (orthorhombic),0.1509,orthorhombic,-1.095476,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2InBiBr6 (orthorhombic),0.6112,orthorhombic,-1.22486,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2InGaBr6 (orthorhombic),0.6177,orthorhombic,-1.198379,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2InInBr6 (orthorhombic),1.0754,orthorhombic,-1.243884,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2InSbBr6 (orthorhombic),0.5839,orthorhombic,-1.174041,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2TlAlBr6 (orthorhombic),2.5708,orthorhombic,-1.362085,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2TlAsBr6 (orthorhombic),1.1689,orthorhombic,-1.117176,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2TlBiBr6 (orthorhombic),1.2606,orthorhombic,-1.259659,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2TlGaBr6 (orthorhombic),1.5515,orthorhombic,-1.226218,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2TlInBr6 (orthorhombic),1.8644,orthorhombic,-1.277337,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2TlSbBr6 (orthorhombic),1.2416,orthorhombic,-1.205886,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AgAlBr6 (orthorhombic),1.8055,orthorhombic,-1.201256,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AgAsBr6 (orthorhombic),1.2224,orthorhombic,-0.963002,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AgBiBr6 (orthorhombic),1.4152,orthorhombic,-1.101286,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AgGaBr6 (orthorhombic),0.8539,orthorhombic,-1.071685,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AgInBr6 (orthorhombic),1.0475,orthorhombic,-1.121014,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AgSbBr6 (orthorhombic),1.3449,orthorhombic,-1.048964,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AuAlBr6 (orthorhombic),2.1912,orthorhombic,-1.118852,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AuAsBr6 (orthorhombic),1.9325,orthorhombic,-0.89384,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AuBiBr6 (orthorhombic),2.0364,orthorhombic,-1.02703,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AuGaBr6 (orthorhombic),1.4898,orthorhombic,-1.003252,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AuInBr6 (orthorhombic),1.3315,orthorhombic,-1.035463,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AuSbBr6 (orthorhombic),1.8013,orthorhombic,-0.9724,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2CuAlBr6 (orthorhombic),1.3813,orthorhombic,-1.142732,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2CuAsBr6 (orthorhombic),0.5174,orthorhombic,-0.913358,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2CuBiBr6 (orthorhombic),0.8057,orthorhombic,-1.046612,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2CuGaBr6 (orthorhombic),0.8095,orthorhombic,-1.029946,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2CuInBr6 (orthorhombic),0.4747,orthorhombic,-1.068792,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2CuSbBr6 (orthorhombic),0.6292,orthorhombic,-0.995351,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2InAlBr6 (orthorhombic),2.429,orthorhombic,-1.278415,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2InAsBr6 (orthorhombic),0.9382,orthorhombic,-1.035023,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2InBiBr6 (orthorhombic),1.0211,orthorhombic,-1.174724,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2InGaBr6 (orthorhombic),1.1309,orthorhombic,-1.145518,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2InInBr6 (orthorhombic),1.4473,orthorhombic,-1.195686,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2InSbBr6 (orthorhombic),1.1537,orthorhombic,-1.120946,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2TlAlBr6 (orthorhombic),2.7996,orthorhombic,-1.31827,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2TlAsBr6 (orthorhombic),1.6343,orthorhombic,-1.067664,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2TlBiBr6 (orthorhombic),1.5858,orthorhombic,-1.212784,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2TlGaBr6 (orthorhombic),1.8405,orthorhombic,-1.180662,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2TlInBr6 (orthorhombic),2.0957,orthorhombic,-1.233016,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2TlSbBr6 (orthorhombic),1.6611,orthorhombic,-1.157749,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AgAlBr6 (orthorhombic),1.4842,orthorhombic,-1.211296,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AgAsBr6 (orthorhombic),1.025,orthorhombic,-0.977064,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AgBiBr6 (orthorhombic),1.3147,orthorhombic,-1.114415,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AgGaBr6 (orthorhombic),0.5988,orthorhombic,-1.082972,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AgInBr6 (orthorhombic),0.813,orthorhombic,-1.132471,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AgSbBr6 (orthorhombic),1.1724,orthorhombic,-1.062849,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AuAlBr6 (orthorhombic),2.9416,orthorhombic,-1.174817,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AuBiBr6 (orthorhombic),2.0059,orthorhombic,-1.043006,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AuGaBr6 (orthorhombic),1.515,orthorhombic,-1.020749,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AuInBr6 (orthorhombic),1.314,orthorhombic,-1.052253,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AuSbBr6 (orthorhombic),1.8822,orthorhombic,-0.989692,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2CuAlBr6 (orthorhombic),1.2881,orthorhombic,-1.156108,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2CuAsBr6 (orthorhombic),0.2772,orthorhombic,-0.928471,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2CuBiBr6 (orthorhombic),0.6378,orthorhombic,-1.057915,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2CuGaBr6 (orthorhombic),0.7361,orthorhombic,-1.04502,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2CuInBr6 (orthorhombic),0.4627,orthorhombic,-1.084116,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2CuSbBr6 (orthorhombic),0.4518,orthorhombic,-1.009453,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2InAlBr6 (orthorhombic),2.26,orthorhombic,-1.292332,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2InAsBr6 (orthorhombic),0.6572,orthorhombic,-1.054011,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2InBiBr6 (orthorhombic),0.8686,orthorhombic,-1.19163,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2InGaBr6 (orthorhombic),0.9411,orthorhombic,-1.161306,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2InInBr6 (orthorhombic),1.282,orthorhombic,-1.211153,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2InSbBr6 (orthorhombic),0.9469,orthorhombic,-1.138745,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2TlAlBr6 (orthorhombic),2.6972,orthorhombic,-1.331172,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2TlAsBr6 (orthorhombic),1.4508,orthorhombic,-1.083484,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2TlBiBr6 (orthorhombic),1.4715,orthorhombic,-1.228607,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2TlGaBr6 (orthorhombic),1.719,orthorhombic,-1.19451,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2TlInBr6 (orthorhombic),2.0361,orthorhombic,-1.24714,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2TlSbBr6 (orthorhombic),1.5107,orthorhombic,-1.173773,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AgAlCl6 (orthorhombic),2.1569,orthorhombic,-1.51597,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AgAsCl6 (orthorhombic),1.2717,orthorhombic,-1.20348,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AgBiCl6 (orthorhombic),1.5403,orthorhombic,-1.343961,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AgGaCl6 (orthorhombic),0.8793,orthorhombic,-1.342115,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AgInCl6 (orthorhombic),1.007,orthorhombic,-1.380566,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AgSbCl6 (orthorhombic),1.3456,orthorhombic,-1.293538,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AuAlCl6 (orthorhombic),3.0945,orthorhombic,-1.446185,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AuBiCl6 (orthorhombic),0.3403,orthorhombic,-1.223111,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AuGaCl6 (orthorhombic),1.6446,orthorhombic,-1.261544,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AuInCl6 (orthorhombic),1.4335,orthorhombic,-1.276226,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2CuAlCl6 (orthorhombic),1.8101,orthorhombic,-1.464827,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2CuAsCl6 (orthorhombic),0.3624,orthorhombic,-1.154574,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2CuBiCl6 (orthorhombic),0.671,orthorhombic,-1.298131,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2CuGaCl6 (orthorhombic),1.0981,orthorhombic,-1.309474,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2CuInCl6 (orthorhombic),0.501,orthorhombic,-1.333607,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2CuSbCl6 (orthorhombic),0.5323,orthorhombic,-1.247041,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2InAlCl6 (orthorhombic),2.9825,orthorhombic,-1.604651,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2InAsCl6 (orthorhombic),0.6284,orthorhombic,-1.284883,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2InBiCl6 (orthorhombic),1.081,orthorhombic,-1.424635,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2InGaCl6 (orthorhombic),1.5679,orthorhombic,-1.430078,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2InInCl6 (orthorhombic),1.8437,orthorhombic,-1.46188,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2InSbCl6 (orthorhombic),1.0928,orthorhombic,-1.370473,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2TlAlCl6 (orthorhombic),3.6166,orthorhombic,-1.643573,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2TlAsCl6 (orthorhombic),1.588,orthorhombic,-1.3128,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2TlBiCl6 (orthorhombic),1.7189,orthorhombic,-1.462992,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2TlGaCl6 (orthorhombic),2.4604,orthorhombic,-1.463456,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2TlInCl6 (orthorhombic),2.6723,orthorhombic,-1.499114,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2TlSbCl6 (orthorhombic),1.666,orthorhombic,-1.40657,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AgAlCl6 (orthorhombic),2.5992,orthorhombic,-1.484078,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AgAsCl6 (orthorhombic),1.6011,orthorhombic,-1.159301,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AgBiCl6 (orthorhombic),1.7561,orthorhombic,-1.303726,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AgGaCl6 (orthorhombic),1.4588,orthorhombic,-1.307862,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AgInCl6 (orthorhombic),1.5675,orthorhombic,-1.342129,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AgSbCl6 (orthorhombic),1.7291,orthorhombic,-1.249335,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AuAlCl6 (orthorhombic),2.6579,orthorhombic,-1.382922,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AuAsCl6 (orthorhombic),2.0922,orthorhombic,-1.078221,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AuBiCl6 (orthorhombic),2.2396,orthorhombic,-1.220057,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AuGaCl6 (orthorhombic),2.0261,orthorhombic,-1.220034,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AuInCl6 (orthorhombic),1.8298,orthorhombic,-1.23889,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AuSbCl6 (orthorhombic),2.1145,orthorhombic,-1.166311,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2CuAlCl6 (orthorhombic),1.2013,orthorhombic,-1.24129,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2CuAsCl6 (orthorhombic),0.6427,orthorhombic,-1.119771,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2CuBiCl6 (orthorhombic),1.1863,orthorhombic,-1.261266,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2CuGaCl6 (orthorhombic),0.8205,orthorhombic,-1.268273,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2CuInCl6 (orthorhombic),0.3592,orthorhombic,-1.294703,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2CuSbCl6 (orthorhombic),1.2445,orthorhombic,-1.207369,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2InAlCl6 (orthorhombic),3.3174,orthorhombic,-1.563483,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2InAsCl6 (orthorhombic),1.513,orthorhombic,-1.233664,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2InBiCl6 (orthorhombic),1.5136,orthorhombic,-1.382938,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2InGaCl6 (orthorhombic),2.0393,orthorhombic,-1.385073,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2InInCl6 (orthorhombic),2.1947,orthorhombic,-1.421448,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2InSbCl6 (orthorhombic),1.6865,orthorhombic,-1.326303,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2TlAlCl6 (orthorhombic),3.7537,orthorhombic,-1.605696,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2TlAsCl6 (orthorhombic),2.1296,orthorhombic,-1.270554,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
