material_absorber,material_etl,material_htl,absorber_band_gap_eV,etl_band_gap_eV,htl_band_gap_eV,cbo_eV,vbo_eV,absorber_etl_type,absorber_htl_type,gap_method,functional,gap_type,material_class,perovskite_family,record_type,combo_mode,source_doi,source_paper
K2TiI6,PC60BM,MWCNTs,1.61,1.8,1.55,-0.2,0.42,Type II,Type II,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,vacancy_ordered_halide_perovskite,full_stack,pooled_etl_htl,10.1038/s41598-025-98351-y,K2TiI6 SCAPS + pooled contacts
K2TiI6,PC60BM,MoO3,1.61,1.8,3.0,-0.2,-4.09,Type II,Type III,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,vacancy_ordered_halide_perovskite,full_stack,pooled_etl_htl,10.1038/s41598-025-98351-y,K2TiI6 SCAPS + pooled contacts
K2TiI6,PC60BM,PTAA,1.61,1.8,2.96,-0.2,0.35,Type II,Type II,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,vacancy_ordered_halide_perovskite,full_stack,pooled_etl_htl,10.1038/s41598-025-98351-y,K2TiI6 SCAPS + pooled contacts
K2TiI6,PC60BM,TiO2:N,1.61,1.8,3.0,-0.2,0.41,Type II,Type II,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,vacancy_ordered_halide_perovskite,full_stack,pooled_etl_htl,10.1038/s41598-025-98351-y,K2TiI6 SCAPS + pooled contacts
K2TiI6,PC60BM,NiCo2O4,1.61,1.8,2.3,-0.2,-0.17,Type II,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,vacancy_ordered_halide_perovskite,full_stack,pooled_etl_htl,10.1038/s41598-025-98351-y,K2TiI6 SCAPS + pooled contacts
K2TiI6,PC60BM,C6TBTAPH2,1.61,1.8,1.59,-0.2,0.44,Type II,Type II,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,vacancy_ordered_halide_perovskite,full_stack,pooled_etl_htl,10.1038/s41598-025-98351-y,K2TiI6 SCAPS + pooled contacts
K2TiI6,PC60BM,nPB,1.61,1.8,2.4,-0.2,0.21,Type II,Type II,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,vacancy_ordered_halide_perovskite,full_stack,pooled_etl_htl,10.1038/s41598-025-98351-y,K2TiI6 SCAPS + pooled contacts
K2TiI6,PC60BM,C6PcH2,1.61,1.8,1.6,-0.2,0.31,Type II,Type II,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,vacancy_ordered_halide_perovskite,full_stack,pooled_etl_htl,10.1038/s41598-025-98351-y,K2TiI6 SCAPS + pooled contacts
K2TiI6,PC60BM,CuAlO2,1.61,1.8,3.46,-0.2,-0.35,Type II,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,vacancy_ordered_halide_perovskite,full_stack,pooled_etl_htl,10.1038/s41598-025-98351-y,K2TiI6 SCAPS + pooled contacts
K2TiI6,PC60BM,D-PBTTT-14,1.61,1.8,2.16,-0.2,0.25,Type II,Type II,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,vacancy_ordered_halide_perovskite,full_stack,pooled_etl_htl,10.1038/s41598-025-98351-y,K2TiI6 SCAPS + pooled contacts
K2TiI6,PC60BM,GaAs,1.61,1.8,1.42,-0.2,0.12,Type II,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,vacancy_ordered_halide_perovskite,full_stack,pooled_etl_htl,10.1038/s41598-025-98351-y,K2TiI6 SCAPS + pooled contacts
K2TiI6,PC60BM,ZnTe,1.61,1.8,2.25,-0.2,-0.37,Type II,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,vacancy_ordered_halide_perovskite,full_stack,pooled_etl_htl,10.1038/s41598-025-98351-y,K2TiI6 SCAPS + pooled contacts
K2TiI6,PC60BM,CNTS,1.61,1.8,1.74,-0.2,0.0,Type II,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,vacancy_ordered_halide_perovskite,full_stack,pooled_etl_htl,10.1038/s41598-025-98351-y,K2TiI6 SCAPS + pooled contacts
K2TiI6,PC60BM,MEH-PPV,1.61,1.8,2.1,-0.2,0.71,Type II,Type II,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,vacancy_ordered_halide_perovskite,full_stack,pooled_etl_htl,10.1038/s41598-025-98351-y,K2TiI6 SCAPS + pooled contacts
K2TiI6,PC60BM,MoS2,1.61,1.8,1.29,-0.2,0.12,Type II,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,vacancy_ordered_halide_perovskite,full_stack,pooled_etl_htl,10.1038/s41598-025-98351-y,K2TiI6 SCAPS + pooled contacts
K2TiI6,PC60BM,Cu2Te,1.61,1.8,1.18,-0.2,0.23,Type II,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,vacancy_ordered_halide_perovskite,full_stack,pooled_etl_htl,10.1038/s41598-025-98351-y,K2TiI6 SCAPS + pooled contacts
K2TiI6,PC60BM,Zn3P2,1.61,1.8,1.5,-0.2,-0.09,Type II,Type II,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,vacancy_ordered_halide_perovskite,full_stack,pooled_etl_htl,10.1038/s41598-025-98351-y,K2TiI6 SCAPS + pooled contacts
K2TiI6,PC60BM,CFTS,1.61,1.8,1.3,-0.2,1.01,Type II,Type II,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,vacancy_ordered_halide_perovskite,full_stack,pooled_etl_htl,10.1038/s41598-025-98351-y,K2TiI6 SCAPS + pooled contacts
K2TiI6,PC60BM,CuI,1.61,1.8,3.1,-0.2,0.41,Type II,Type II,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,vacancy_ordered_halide_perovskite,full_stack,pooled_etl_htl,10.1038/s41598-025-98351-y,K2TiI6 SCAPS + pooled contacts
K2TiI6,PC60BM,CuSCN,1.61,1.8,3.6,-0.2,0.31,Type II,Type II,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,vacancy_ordered_halide_perovskite,full_stack,pooled_etl_htl,10.1038/s41598-025-98351-y,K2TiI6 SCAPS + pooled contacts
K2TiI6,PC60BM,NiO,1.61,1.8,3.6,-0.2,0.21,Type II,Type II,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,vacancy_ordered_halide_perovskite,full_stack,pooled_etl_htl,10.1038/s41598-025-98351-y,K2TiI6 SCAPS + pooled contacts
K2TiI6,PC60BM,V2O5,1.61,1.8,2.8,-0.2,-3.79,Type II,Type III,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,vacancy_ordered_halide_perovskite,full_stack,pooled_etl_htl,10.1038/s41598-025-98351-y,K2TiI6 SCAPS + pooled contacts
K2TiI6,PC60BM,Spiro-OMeTAD,1.61,1.8,3.0,-0.2,0.56,Type II,Type II,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,vacancy_ordered_halide_perovskite,full_stack,pooled_etl_htl,10.1038/s41598-025-98351-y,K2TiI6 SCAPS + pooled contacts
