material_absorber,absorber_band_gap_eV,phase,a_site,a2_site,b1_site,b2_site,x_site,heat_of_formation_eV_per_atom,gap_method,functional,gap_type,material_class,perovskite_family,record_type,source_doi,source_paper,chi_eV,chi_source
Rb2InInCl6 (orthorhombic),2.0694,orthorhombic,Rb,,In,In,Cl,-1.433161295,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8422,ml_plus_family_prior
Rb2InSbCl6 (orthorhombic),1.4543,orthorhombic,Rb,,In,Sb,Cl,-1.340035302,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8515,ml_plus_family_prior
Rb2TlAlCl6 (orthorhombic),3.6754,orthorhombic,Rb,,Tl,Al,Cl,-1.61497043,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.4595,ml_plus_family_prior
Rb2TlAsCl6 (orthorhombic),1.9166,orthorhombic,Rb,,Tl,As,Cl,-1.28285614,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.9041,ml_plus_family_prior
Rb2TlBiCl6 (orthorhombic),1.9577,orthorhombic,Rb,,Tl,Bi,Cl,-1.43600174,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.9054,ml_plus_family_prior
Rb2TlGaCl6 (orthorhombic),2.6567,orthorhombic,Rb,,Tl,Ga,Cl,-1.43454349,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.6812,ml_plus_family_prior
Rb2TlInCl6 (orthorhombic),2.8388,orthorhombic,Rb,,Tl,In,Cl,-1.4725266,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.6923,ml_plus_family_prior
Rb2TlSbCl6 (orthorhombic),1.9664,orthorhombic,Rb,,Tl,Sb,Cl,-1.378649507,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8607,ml_plus_family_prior
Cs2AgAlI6 (orthorhombic),0.8116,orthorhombic,Cs,,Ag,Al,I,-0.896864245,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.7389,ml_plus_family_prior
Cs2AgAsI6 (orthorhombic),0.2816,orthorhombic,Cs,,Ag,As,I,-0.756875155,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.9126,ml_plus_family_prior
Cs2AgBiI6 (orthorhombic),0.7825,orthorhombic,Cs,,Ag,Bi,I,-0.876138405,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.9228,ml_plus_family_prior
Cs2AgGaI6 (orthorhombic),0.5187,orthorhombic,Cs,,Ag,Ga,I,-0.821308805,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8796,ml_plus_family_prior
Cs2AgInI6 (orthorhombic),0.4092,orthorhombic,Cs,,Ag,In,I,-0.875527365,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8235,ml_plus_family_prior
Cs2AgSbI6 (orthorhombic),0.5516,orthorhombic,Cs,,Ag,Sb,I,-0.830862672,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8880,ml_plus_family_prior
Cs2AuAlI6 (orthorhombic),1.7988,orthorhombic,Cs,,Au,Al,I,-0.856428695,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.6708,ml_plus_family_prior
Cs2AuBiI6 (orthorhombic),0.0997,orthorhombic,Cs,,Au,Bi,I,-0.807736105,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.9224,ml_plus_family_prior
Cs2AuGaI6 (orthorhombic),0.711,orthorhombic,Cs,,Au,Ga,I,-0.788026255,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8899,ml_plus_family_prior
Cs2AuInI6 (orthorhombic),0.7908,orthorhombic,Cs,,Au,In,I,-0.831846715,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8256,ml_plus_family_prior
Cs2CuAlI6 (orthorhombic),1.1815,orthorhombic,Cs,,Cu,Al,I,-0.84558622,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.6686,ml_plus_family_prior
Cs2CuBiI6 (orthorhombic),0.4616,orthorhombic,Cs,,Cu,Bi,I,-0.81696348,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.9026,ml_plus_family_prior
Cs2CuGaI6 (orthorhombic),0.5666,orthorhombic,Cs,,Cu,Ga,I,-0.78122368,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8630,ml_plus_family_prior
Cs2CuInI6 (orthorhombic),0.6155,orthorhombic,Cs,,Cu,In,I,-0.82681389,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.7976,ml_plus_family_prior
Cs2CuSbI6 (orthorhombic),0.2081,orthorhombic,Cs,,Cu,Sb,I,-0.771133497,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8747,ml_plus_family_prior
Cs2InAlI6 (orthorhombic),1.0898,orthorhombic,Cs,,In,Al,I,-0.97132933,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.6138,ml_plus_family_prior
Cs2InBiI6 (orthorhombic),0.2795,orthorhombic,Cs,,In,Bi,I,-0.94610179,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8241,ml_plus_family_prior
Cs2InGaI6 (orthorhombic),0.4448,orthorhombic,Cs,,In,Ga,I,-0.91874504,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8014,ml_plus_family_prior
Cs2InInI6 (orthorhombic),0.3965,orthorhombic,Cs,,In,In,I,-0.944352,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8224,ml_plus_family_prior
Cs2InSbI6 (orthorhombic),0.304,orthorhombic,Cs,,In,Sb,I,-0.900476257,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8104,ml_plus_family_prior
Cs2TlAlI6 (orthorhombic),1.4478,orthorhombic,Cs,,Tl,Al,I,-1.005307535,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.6828,ml_plus_family_prior
Cs2TlAsI6 (orthorhombic),0.8489,orthorhombic,Cs,,Tl,As,I,-0.851096845,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8969,ml_plus_family_prior
Cs2TlBiI6 (orthorhombic),0.8517,orthorhombic,Cs,,Tl,Bi,I,-0.978460295,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.9044,ml_plus_family_prior
Cs2TlGaI6 (orthorhombic),0.636,orthorhombic,Cs,,Tl,Ga,I,-0.912208145,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8728,ml_plus_family_prior
Cs2TlInI6 (orthorhombic),1.0243,orthorhombic,Cs,,Tl,In,I,-0.974552655,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.7506,ml_plus_family_prior
Cs2TlSbI6 (orthorhombic),0.9189,orthorhombic,Cs,,Tl,Sb,I,-0.929734162,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8715,ml_plus_family_prior
K2AgAlI6 (orthorhombic),1.0595,orthorhombic,K,,Ag,Al,I,-0.852606875,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.6749,ml_plus_family_prior
K2AgAsI6 (orthorhombic),0.8718,orthorhombic,K,,Ag,As,I,-0.705056735,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8950,ml_plus_family_prior
K2AgBiI6 (orthorhombic),1.0267,orthorhombic,K,,Ag,Bi,I,-0.827302235,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8474,ml_plus_family_prior
K2AgGaI6 (orthorhombic),0.5749,orthorhombic,K,,Ag,Ga,I,-0.771154985,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8721,ml_plus_family_prior
K2AgInI6 (orthorhombic),0.6171,orthorhombic,K,,Ag,In,I,-0.827364345,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8127,ml_plus_family_prior
K2AgSbI6 (orthorhombic),0.9636,orthorhombic,K,,Ag,Sb,I,-0.780065652,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8108,ml_plus_family_prior
K2AuAlI6 (orthorhombic),1.7916,orthorhombic,K,,Au,Al,I,-0.801781775,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.6702,ml_plus_family_prior
K2AuAsI6 (orthorhombic),1.5857,orthorhombic,K,,Au,As,I,-0.662767785,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8671,ml_plus_family_prior
K2AuBiI6 (orthorhombic),0.0997,orthorhombic,K,,Au,Bi,I,-0.807736255,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.9205,ml_plus_family_prior
K2AuGaI6 (orthorhombic),0.707,orthorhombic,K,,Au,Ga,I,-0.731169635,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8880,ml_plus_family_prior
K2AuInI6 (orthorhombic),0.8704,orthorhombic,K,,Au,In,I,-0.774734845,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8074,ml_plus_family_prior
K2AuSbI6 (orthorhombic),1.6469,orthorhombic,K,,Au,Sb,I,-0.732138402,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8314,ml_plus_family_prior
K2CuAlI6 (orthorhombic),1.3283,orthorhombic,K,,Cu,Al,I,-0.79370025,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.6724,ml_plus_family_prior
K2CuAsI6 (orthorhombic),0.4083,orthorhombic,K,,Cu,As,I,-0.64523631,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8936,ml_plus_family_prior
K2CuBiI6 (orthorhombic),0.6416,orthorhombic,K,,Cu,Bi,I,-0.76512996,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8941,ml_plus_family_prior
K2CuGaI6 (orthorhombic),0.4593,orthorhombic,K,,Cu,Ga,I,-0.72649011,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8611,ml_plus_family_prior
K2CuInI6 (orthorhombic),0.5467,orthorhombic,K,,Cu,In,I,-0.77274142,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8057,ml_plus_family_prior
K2CuSbI6 (orthorhombic),0.4952,orthorhombic,K,,Cu,Sb,I,-0.718434277,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8687,ml_plus_family_prior
K2InAlI6 (orthorhombic),1.3827,orthorhombic,K,,In,Al,I,-0.91849601,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.6383,ml_plus_family_prior
K2InAsI6 (orthorhombic),0.5268,orthorhombic,K,,In,As,I,-0.76651082,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8133,ml_plus_family_prior
K2InBiI6 (orthorhombic),0.5802,orthorhombic,K,,In,Bi,I,-0.88892632,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8170,ml_plus_family_prior
K2InGaI6 (orthorhombic),0.7663,orthorhombic,K,,In,Ga,I,-0.86481372,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8074,ml_plus_family_prior
K2InInI6 (orthorhombic),0.6951,orthorhombic,K,,In,In,I,-0.88895953,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8343,ml_plus_family_prior
K2InSbI6 (orthorhombic),0.7056,orthorhombic,K,,In,Sb,I,-0.840849337,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8146,ml_plus_family_prior
K2TlAlI6 (orthorhombic),1.6961,orthorhombic,K,,Tl,Al,I,-0.955623015,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.6775,ml_plus_family_prior
K2TlAsI6 (orthorhombic),1.173,orthorhombic,K,,Tl,As,I,-0.796342875,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8598,ml_plus_family_prior
K2TlBiI6 (orthorhombic),1.088,orthorhombic,K,,Tl,Bi,I,-0.924913925,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8652,ml_plus_family_prior
K2TlGaI6 (orthorhombic),0.8671,orthorhombic,K,,Tl,Ga,I,-0.860636175,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8618,ml_plus_family_prior
K2TlInI6 (orthorhombic),1.2492,orthorhombic,K,,Tl,In,I,-0.923076085,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.7883,ml_plus_family_prior
K2TlSbI6 (orthorhombic),1.2075,orthorhombic,K,,Tl,Sb,I,-0.875102192,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8243,ml_plus_family_prior
Rb2AgAlI6 (orthorhombic),0.8823,orthorhombic,Rb,,Ag,Al,I,-0.865801415,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.7335,ml_plus_family_prior
Rb2AgAsI6 (orthorhombic),0.6606,orthorhombic,Rb,,Ag,As,I,-0.720590475,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.9083,ml_plus_family_prior
Rb2AgBiI6 (orthorhombic),0.9444,orthorhombic,Rb,,Ag,Bi,I,-0.843083625,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.9090,ml_plus_family_prior
Rb2AgGaI6 (orthorhombic),0.5923,orthorhombic,Rb,,Ag,Ga,I,-0.787902275,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8692,ml_plus_family_prior
Rb2AgInI6 (orthorhombic),0.5097,orthorhombic,Rb,,Ag,In,I,-0.842628535,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8225,ml_plus_family_prior
Rb2AgSbI6 (orthorhombic),0.8157,orthorhombic,Rb,,Ag,Sb,I,-0.796277342,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8740,ml_plus_family_prior
Rb2AuAlI6 (orthorhombic),1.7762,orthorhombic,Rb,,Au,Al,I,-0.821338815,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.6717,ml_plus_family_prior
Rb2AuBiI6 (orthorhombic),1.6172,orthorhombic,Rb,,Au,Bi,I,-0.803919525,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8739,ml_plus_family_prior
Rb2AuGaI6 (orthorhombic),0.7292,orthorhombic,Rb,,Au,Ga,I,-0.752250425,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8875,ml_plus_family_prior
Rb2AuInI6 (orthorhombic),0.8177,orthorhombic,Rb,,Au,In,I,-0.795363435,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap",3.8136,ml_plus_family_prior
