iter	RMSE
0	0.7602251588
1	0.7467674341
2	0.7334542407
3	0.7206493562
4	0.7102111709
5	0.6987621427
6	0.6882140625
7	0.6776933073
8	0.6672922563
9	0.6595191346
10	0.6486085601
11	0.6395369464
12	0.6324286763
13	0.6249417891
14	0.6166264819
15	0.6082933501
16	0.5997646101
17	0.5931519208
18	0.5874491945
19	0.5844154214
20	0.5792939562
21	0.5752250943
22	0.5705025521
23	0.5631953998
24	0.5551469915
25	0.5497207085
26	0.5446698259
27	0.5426074083
28	0.5387120621
29	0.5348949869
30	0.5313277842
31	0.5274004376
32	0.5227490953
33	0.518737924
34	0.514124532
35	0.5101388524
36	0.5067570648
37	0.5040108712
38	0.4996250847
39	0.4963708933
40	0.4944624136
41	0.4892196955
42	0.4847637725
43	0.4808960244
44	0.4790360261
45	0.4756928193
46	0.4716375665
47	0.4692855561
48	0.4677583256
49	0.465004112
50	0.4629024812
51	0.4611358053
52	0.4593020592
53	0.4558635991
54	0.4534982352
55	0.4507570836
56	0.4466601441
57	0.4442145687
58	0.4416832503
59	0.4385457667
60	0.4373169749
61	0.4351715103
62	0.4337450143
63	0.4307611862
64	0.429427587
65	0.4278819819
66	0.4265209367
67	0.4249849439
68	0.4229266007
69	0.4213018262
70	0.4201797953
71	0.4176549432
72	0.4163479119
73	0.4154256047
74	0.4138565019
75	0.4106138565
76	0.4091129198
77	0.4069692834
78	0.4057909752
79	0.4032488752
80	0.4012233874
81	0.3992335458
82	0.3982358708
83	0.3961203435
84	0.3953840386
85	0.3946268922
86	0.3938882214
87	0.3922702485
88	0.3908235214
89	0.3896150963
90	0.3883198157
91	0.3869750677
92	0.3853379007
93	0.3842124029
94	0.3834831661
95	0.3826335928
96	0.3814020823
97	0.3806309101
98	0.3793219655
99	0.3775043086
100	0.3755947968
101	0.3745202188
102	0.3727718793
103	0.3715055033
104	0.3706304594
105	0.3699949274
106	0.3686629811
107	0.3677395851
108	0.3669025236
109	0.3661767445
110	0.3649171629
111	0.3641228953
112	0.3633596427
113	0.362543095
114	0.3600996491
115	0.358020347
116	0.3563824787
117	0.3558433723
118	0.3532384781
119	0.3525188985
120	0.3519672772
121	0.3511818388
122	0.3492105229
123	0.3484200731
124	0.3473793702
125	0.3462595032
126	0.3450348871
127	0.3443810885
128	0.3430930918
129	0.3407493464
130	0.3393982796
131	0.338694336
132	0.3374401883
133	0.3359978401
134	0.3354139499
135	0.3347173258
136	0.3341698826
137	0.3334499742
138	0.3329199872
139	0.33076419
140	0.329626645
141	0.3285946744
142	0.3273318747
143	0.3263699817
144	0.325702175
145	0.3247042589
146	0.3241446117
147	0.3234352611
148	0.3228701218
149	0.3208074158
150	0.3197848962
151	0.318903938
152	0.3177012976
153	0.3172180408
154	0.3163705918
155	0.3143584988
156	0.3137209327
157	0.3122264601
158	0.3114378457
159	0.3108604742
160	0.3102948696
161	0.3095296073
162	0.3092471492
163	0.3074663184
164	0.3056652482
165	0.3052053984
166	0.3034852822
167	0.3030980898
168	0.3028516338
169	0.3020484906
170	0.3015673982
171	0.3012561731
172	0.300273723
173	0.2997265338
174	0.2988402361
175	0.2985088338
176	0.2982650544
177	0.2976750924
178	0.2971139802
179	0.2969092865
180	0.2966755074
181	0.2962540875
182	0.296034278
183	0.2957443662
184	0.2952692751
185	0.293656183
186	0.2931645666
187	0.2916448356
188	0.2914552063
189	0.2909506455
190	0.2907330385
191	0.290533533
192	0.2890790258
193	0.288755604
194	0.2879506793
195	0.2872410075
196	0.2868456725
197	0.2861405785
198	0.2847792858
199	0.284388099
200	0.283689801
201	0.2832467056
202	0.2830754441
203	0.2828828546
204	0.2819507943
205	0.2810536491
206	0.2808913687
207	0.2807412078
208	0.279465714
209	0.278825912
210	0.2785774736
211	0.2780951938
212	0.2768838296
213	0.2767183314
214	0.2763590629
215	0.2758492036
216	0.2756804856
217	0.2748125475
218	0.2746593424
219	0.2739950119
220	0.2729870509
221	0.2721936966
222	0.2719882012
223	0.2712201338
224	0.2708474012
225	0.2699759899
226	0.2692516677
227	0.2691172268
228	0.2678738229
229	0.2675352912
230	0.2674003246
231	0.2668659732
232	0.2665530605
233	0.265594555
234	0.2652731912
235	0.2645425865
236	0.2641459326
237	0.2634594615
238	0.2627208492
239	0.2621026488
240	0.2617836753
241	0.2616639151
242	0.2612889028
243	0.2609952386
244	0.2608655958
245	0.2607409026
246	0.2604701604
247	0.2603542098
248	0.2599194366
249	0.2596430351
250	0.259539253
251	0.2593815324
252	0.2591576462
253	0.2590607426
254	0.2586808854
255	0.2578590423
256	0.2573268532
257	0.2572454436
258	0.2568390294
259	0.2566264953
260	0.2565339827
261	0.2560148223
262	0.2559132573
263	0.2552603513
264	0.2547737973
265	0.2544535979
266	0.2542414449
267	0.2539623311
268	0.2536739562
269	0.2536003964
270	0.2534312033
271	0.2533486479
272	0.2530737673
273	0.2526325701
274	0.2522417449
275	0.2521542808
276	0.2519671264
277	0.2518620435
278	0.25179219
279	0.2515613255
280	0.2513819764
281	0.2509313707
282	0.250817499
283	0.2507320997
284	0.2502021988
285	0.250118739
286	0.2495465646
287	0.2493703459
288	0.2492999432
289	0.2491570181
290	0.2488128962
291	0.248643349
292	0.248575896
293	0.248171923
294	0.2479728324
295	0.2476321474
296	0.2475683086
297	0.2469349974
298	0.2468581435
299	0.2466456596
