layer_role,material,Eg_eV,chi_eV,source_table,source_doi
absorber,Cs3Sb2Br9,1.952,3.98,Table 1,10.1016/j.nxmate.2026.102491
etl,TiO2,3.2,4.0,Table 1,10.1016/j.nxmate.2026.102491
htl,CFTS,1.3,3.3,Table 1,10.1016/j.nxmate.2026.102491
