ml_a,ml_b,bilayer_eg_eV,delta_ev_eV,delta_ec_eV
1T-GeI2,1T-HfS2,1.33,1.46,0.71
1T-GeI2,1T-HgBr2,2.44,2.67,1.35
1T-GeI2,1T-SnS2,1.37,1.65,1.11
1T-GeI2,1T-ZrS2,1.09,1.23,0.86
2H-WSe2,1T-GeI2,1.75,2.4,0.88
2H-WTe2,1T-GeI2,1.21,1.64,1.43
2H-ZrCl2,1T-GeI2,0.87,1.28,1.77
1T-HfSe2,1T-HfS2,1.0,1.52,1.04
1T-HfS2,1T-NiO2,0.38,0.73,2.91
1T-PtSe2,1T-HfS2,0.84,1.7,1.2
1T-ZnI2,1T-HfS2,1.43,1.6,0.62
1T-HfS2,1T-ZrS2,1.81,2.41,0.14
2H-GeI2,1T-HfS2,1.3,1.41,0.74
2H-MoS2,1T-HfS2,1.42,1.59,0.62
2H-MoSe2,1T-HfS2,0.8,1.11,1.25
2H-MoTe2,1T-HfS2,0.23,0.39,1.81
2H-WS2,1T-HfS2,1.07,1.25,0.98
1T-PtSe2,1T-HfSe2,0.94,1.85,0.16
1T-HfSe2,1T-SnS2,1.05,1.61,1.44
1T-HfSe2,1T-SnSe2,0.84,1.73,0.61
1T-HfSe2,1T-ZrS2,0.76,1.25,1.18
1T-HfSe2,1T-ZrSe2,0.8,1.54,0.14
2H-MoSe2,1T-HfSe2,0.89,1.05,0.21
2H-MoTe2,1T-HfSe2,0.33,0.49,0.77
2H-WSe2,1T-HfSe2,0.54,0.71,0.55
1T-HgBr2,1T-NiO2,1.01,1.23,2.28
2H-MoTe2,1T-HgBr2,1.34,1.58,2.45
1T-CdI2,1T-CaI2,2.99,3.36,0.54
1T-GeI2,1T-CaI2,2.64,3.05,0.76
1T-HfS2,1T-CaI2,2.04,2.9,0.04
1T-HfSe2,1T-CaI2,1.1,2.02,1.09
1T-CaI2,1T-MgBr2,4.56,5.22,1.06
1T-CaI2,1T-MgCl2,4.56,5.22,2.12
1T-MgI2,1T-CaI2,4.16,4.64,0.38
1T-OTl2,1T-CaI2,1.51,1.51,1.7
1T-PbI2,1T-CaI2,2.65,2.91,0.38
1T-PdTe2,1T-CaI2,0.09,0.83,2.65
1T-PtS2,1T-CaI2,2.65,2.79,0.18
1T-PtSe2,1T-CaI2,1.72,2.08,1.25
1T-PtTe2,1T-CaI2,0.62,1.31,2.58
1T-STl2,1T-CaI2,1.89,2.07,1.95
1T-SnSe2,1T-CaI2,1.44,1.81,0.48
1T-TiS2,1T-CaI2,0.71,1.11,0.68
1T-YbI2,1T-CaI2,2.35,2.4,1.92
1T-ZnI2,1T-CaI2,2.59,3.01,0.66
1T-ZrSe2,1T-CaI2,0.94,1.68,0.95
2H-GeI2,1T-CaI2,2.36,2.93,0.78
2H-MoS2,1T-CaI2,2.22,2.22,0.66
2H-MoSe2,1T-CaI2,1.95,1.95,1.29
2H-MoTe2,1T-CaI2,1.5,1.5,1.85
2H-WS2,1T-CaI2,2.2,2.2,1.02
2H-WSe2,1T-CaI2,1.88,1.88,1.64
2H-WTe2,1T-CaI2,1.3,1.3,2.18
2H-ZrCl2,1T-CaI2,1.55,2.29,2.53
1T-CdBr2,1T-CdCl2,4.32,4.32,0.93
1T-GeBr2,1T-CdBr2,3.09,3.61,0.7
1T-GeI2,1T-CdBr2,2.64,3.05,1.59
1T-HfS2,1T-CdBr2,2.04,2.9,0.88
1T-HfSe2,1T-CdBr2,1.1,2.02,1.92
1T-HgBr2,1T-CdBr2,3.79,3.79,0.25
1T-CdBr2,1T-MgBr2,4.32,4.32,0.22
1T-CdBr2,1T-MgCl2,4.32,4.32,1.28
1T-OTl2,1T-CdBr2,1.51,1.51,2.53
1T-PbI2,1T-CdBr2,2.65,2.91,1.21
1T-PdTe2,1T-CdBr2,0.09,0.83,3.49
1T-PtS2,1T-CdBr2,2.65,2.79,1.02
1T-PtSe2,1T-CdBr2,1.72,2.08,2.08
1T-PtTe2,1T-CdBr2,0.62,1.31,3.42
1T-SnS2,1T-CdBr2,2.48,2.75,0.48
1T-SnSe2,1T-CdBr2,1.44,1.81,1.32
1T-TiS2,1T-CdBr2,0.71,1.11,1.52
1T-CdBr2,1T-ZnCl2,4.32,4.32,0.86
1T-ZnI2,1T-CdBr2,2.59,3.01,1.5
1T-ZrS2,1T-CdBr2,1.95,2.56,0.74
1T-ZrSe2,1T-CdBr2,0.94,1.68,1.79
2H-GeI2,1T-CdBr2,2.36,2.93,1.62
1T-OTl2,1T-HfS2,0.39,1.66,1.12
1T-PbI2,1T-HfS2,1.71,0.34,0.94
1T-PtS2,1T-HfS2,1.9,0.14,0.75
1T-STl2,1T-HfS2,0.14,1.9,1.75
1T-YbI2,1T-HfS2,0.17,1.87,2.18
2H-WSe2,1T-HfS2,0.45,1.6,1.43
1T-OTl2,1T-HfSe2,0.48,0.61,1.02
1T-STl2,1T-HfSe2,0.23,0.86,1.65
1T-HfSe2,1T-TiS2,0.3,0.41,0.79
1T-YbI2,1T-HfSe2,0.27,0.83,2.09
1T-MgI2,1T-HgBr2,2.82,0.97,1.35
1T-OTl2,1T-HgBr2,1.5,2.29,0.01
1T-HgBr2,1T-PtO2,3.15,0.35,0.64
1T-PtTe2,1T-HgBr2,0.62,3.17,0.01
1T-STl2,1T-HgBr2,1.25,2.54,0.64
1T-YbI2,1T-HgBr2,1.28,2.51,1.07
1T-ZnI2,1T-HgBr2,2.54,1.25,0.05
2H-MoSe2,1T-HgBr2,1.91,1.88,0.04
1T-MgBr2,1T-NiO2,1.48,1.81,4.38
1T-MgBr2,1T-ZnCl2,5.49,0.64,0.37
1T-MgI2,1T-PbI2,2.65,0.0,1.52
1T-MgI2,1T-PtS2,2.46,0.2,1.71
1T-MgI2,1T-SnS2,1.75,0.73,2.41
1T-MgI2,1T-ZnBr2,3.51,1.1,0.65
1T-MgI2,1T-ZnCl2,4.05,2.08,0.12
1T-MgI2,1T-ZrS2,1.47,0.48,2.7
1T-PbI2,1T-NiO2,0.04,3.25,2.61
1T-PtO2,1T-NiO2,1.36,1.93,2.14
1T-PtS2,1T-NiO2,0.24,3.06,2.42
1T-ZnBr2,1T-NiO2,1.14,2.15,3.47
1T-ZnCl2,1T-NiO2,2.12,1.18,4.01
1T-OTl2,1T-PbI2,1.33,1.32,0.18
1T-OTl2,1T-PtO2,0.86,2.64,0.65
1T-OTl2,1T-PtSe2,1.27,0.45,0.24
1T-STl2,1T-OTl2,1.26,0.25,0.63
1T-OTl2,1T-SnS2,0.43,2.05,1.07
1T-YbI2,1T-OTl2,1.29,0.22,1.07
1T-OTl2,1T-ZrS2,0.15,1.8,1.35
1T-OTl2,1T-ZrSe2,0.19,0.75,1.31
1T-OTl2,2H-GeI2,1.45,0.91,0.06
1T-PbI2,1T-PtO2,2.18,1.32,0.47
1T-PbI2,1T-PtS2,2.46,0.19,0.19
1T-PtTe2,1T-PbI2,0.45,2.2,0.18
1T-STl2,1T-PbI2,1.08,1.57,0.81
1T-PbI2,1T-SnS2,1.75,0.73,0.9
1T-YbI2,1T-PbI2,1.11,1.54,1.24
1T-ZnI2,1T-PbI2,2.37,0.28,0.22
1T-PbI2,1T-ZrS2,1.47,0.48,1.18
2H-WTe2,1T-PbI2,0.84,1.81,0.46
1T-PtS2,1T-PtO2,2.37,1.13,0.28
1T-PtSe2,1T-PtO2,1.31,2.19,0.41
1T-STl2,1T-PtO2,0.61,2.89,1.28
1T-YbI2,1T-PtO2,0.64,2.86,1.71
1T-ZnBr2,1T-PtO2,3.28,0.22,1.34
2H-GeI2,1T-PtO2,1.77,1.73,0.59
2H-MoSe2,1T-PtO2,1.27,2.23,0.68
2H-ZrCl2,1T-PtO2,0.03,3.47,1.52
1T-PtSe2,1T-PtS2,1.59,1.06,0.13
1T-PtS2,1T-SnS2,1.95,0.54,0.71
1T-YbI2,1T-PtS2,0.92,1.73,1.43
1T-PtS2,1T-ZrS2,1.67,0.28,0.99
2H-GeI2,1T-PtS2,2.05,0.6,0.31
1T-STl2,1T-PtSe2,1.02,0.7,0.87
1T-PtSe2,1T-SnSe2,0.68,0.77,1.04
1T-PtSe2,1T-TiS2,0.14,0.57,1.57
1T-YbI2,1T-PtSe2,1.05,0.67,1.31
1T-PtSe2,1T-ZrSe2,0.64,0.3,1.07
2H-MoTe2,1T-PtSe2,1.11,0.61,0.39
1T-PtTe2,2H-GeI2,0.57,1.8,0.06
1T-STl2,1T-SnS2,0.18,2.3,1.7
1T-STl2,2H-GeI2,1.2,1.16,0.69
1T-STl2,2H-MoS2,0.94,1.28,0.95
1T-STl2,2H-MoSe2,1.29,0.65,0.59
1T-STl2,2H-WS2,1.27,0.93,0.62
1T-STl2,2H-WSe2,1.57,0.31,0.32
1T-YbI2,1T-SnS2,0.22,2.27,2.14
1T-ZnI2,1T-SnS2,1.47,1.01,1.12
2H-GeI2,1T-SnS2,1.35,1.14,1.01
1T-YbI2,1T-SnSe2,0.01,1.43,2.35
1T-SnSe2,1T-ZrS2,1.37,0.58,0.07
2H-GeI2,1T-SnSe2,1.14,0.3,1.22
2H-MoTe2,1T-SnSe2,0.07,1.37,1.43
2H-GeI2,1T-TiS2,0.61,0.1,1.75
1T-YbI2,1T-ZnBr2,1.98,2.64,0.38
1T-YbI2,1T-ZnI2,1.33,1.25,1.02
1T-YbI2,2H-MoS2,0.97,1.25,1.38
1T-YbI2,2H-MoSe2,1.32,0.62,1.03
1T-YbI2,2H-MoTe2,1.44,0.06,0.92
1T-YbI2,2H-WS2,1.3,0.9,1.06
1T-YbI2,2H-WSe2,1.6,0.28,0.75
1T-ZnI2,1T-ZrS2,1.19,0.76,1.4
2H-GeI2,1T-ZrS2,1.07,0.88,1.3
2H-GeI2,2H-MoS2,2.1,0.12,0.26
2H-WS2,2H-GeI2,2.13,0.23,0.07
2H-ZrCl2,2H-GeI2,0.62,1.74,0.93
2H-WS2,2H-MoS2,1.87,0.35,0.33
2H-ZrCl2,2H-MoS2,0.36,1.86,1.19
2H-MoTe2,2H-MoSe2,1.39,0.56,0.11
2H-WSe2,2H-MoSe2,1.6,0.35,0.28
2H-WTe2,2H-MoSe2,1.06,0.89,0.25
2H-MoTe2,2H-WS2,1.36,0.84,0.14
2H-WTe2,2H-MoTe2,1.17,0.33,0.13
2H-ZrCl2,2H-WS2,0.69,1.51,0.86
2H-WS2,1T-HgBr2,2.18,2.52,1.61
2H-WSe2,1T-HgBr2,1.56,1.82,2.23
2H-WTe2,1T-HgBr2,1.01,1.32,2.77
2H-ZrCl2,1T-HgBr2,0.67,0.92,3.12
1T-MgCl2,1T-NiO2,2.54,2.71,0.76
1T-MgI2,1T-NiO2,0.04,0.37,3.25
1T-MgI2,1T-PtO2,2.18,2.31,1.32
1T-SnS2,1T-NiO2,0.77,0.91,2.52
1T-ZrS2,1T-NiO2,0.52,0.87,2.77
1T-OTl2,1T-PtS2,1.14,1.62,1.51
1T-PtTe2,1T-OTl2,0.62,1.25,0.88
1T-OTl2,1T-SnSe2,0.23,0.42,1.22
1T-OTl2,2H-MoS2,1.19,1.46,1.03
2H-MoTe2,1T-OTl2,1.35,1.73,0.16
2H-WTe2,1T-OTl2,1.02,1.67,0.49
2H-ZrCl2,1T-OTl2,0.68,1.26,0.83
2H-GeI2,1T-PbI2,2.24,2.35,0.41
2H-MoSe2,1T-PbI2,1.74,2.1,0.91
2H-MoTe2,1T-PbI2,1.17,1.65,1.48
2H-WS2,1T-PbI2,2.01,2.35,0.64
2H-WSe2,1T-PbI2,1.39,1.89,1.26
2H-ZrCl2,1T-PbI2,0.5,1.15,2.15
1T-ZnI2,1T-PtO2,1.9,2.04,1.6
2H-MoS2,1T-PtO2,1.89,2.33,1.61
2H-MoTe2,1T-PtO2,0.7,0.93,2.8
2H-WS2,1T-PtO2,1.54,1.98,1.96
2H-WSe2,1T-PtO2,0.92,1.03,2.58
2H-WTe2,1T-PtO2,0.37,0.6,3.13
1T-PtTe2,1T-PtS2,0.26,0.51,2.4
1T-STl2,1T-PtS2,0.89,1.08,1.76
1T-ZnI2,1T-PtS2,2.18,2.6,0.48
2H-MoS2,1T-PtS2,2.17,2.37,0.48
2H-MoSe2,1T-PtS2,1.55,1.78,1.11
2H-MoTe2,1T-PtS2,0.98,1.32,1.67
2H-WS2,1T-PtS2,1.82,2.04,0.83
2H-WSe2,1T-PtS2,1.2,1.45,1.46
2H-WTe2,1T-PtS2,0.65,1.03,2.0
2H-ZrCl2,1T-PtS2,0.31,0.42,2.34
1T-PtTe2,1T-PtSe2,0.38,0.56,1.33
1T-PtSe2,1T-SnS2,0.89,1.84,1.6
1T-PtSe2,1T-ZrS2,0.6,1.21,1.34
1T-PtSe2,2H-MoS2,1.64,1.93,0.58
2H-MoSe2,1T-PtSe2,1.67,1.83,0.05
2H-WSe2,1T-PtSe2,1.32,1.59,0.39
2H-WTe2,1T-PtSe2,0.78,0.9,0.94
2H-ZrCl2,1T-PtSe2,0.44,0.61,1.28
1T-PtTe2,2H-MoS2,0.31,0.7,1.92
1T-STl2,1T-ZnI2,1.3,1.48,1.29
1T-STl2,2H-MoTe2,1.41,1.77,0.09
2H-ZrCl2,1T-STl2,1.31,1.45,0.58
2H-MoS2,1T-SnS2,1.47,1.82,1.01
2H-MoSe2,1T-SnS2,0.84,1.29,1.64
2H-MoTe2,1T-SnS2,0.28,0.53,2.21
2H-WS2,1T-SnS2,1.11,1.51,1.37
2H-WSe2,1T-SnS2,0.49,1.06,1.99
1T-ZnI2,1T-SnSe2,1.26,1.46,0.18
2H-MoS2,1T-SnSe2,1.26,1.45,0.18
2H-MoSe2,1T-SnSe2,0.63,0.96,0.81
2H-WS2,1T-SnSe2,0.91,1.14,0.54
2H-WSe2,1T-SnSe2,0.28,0.66,1.16
1T-ZrSe2,1T-TiS2,0.44,0.62,0.27
2H-MoSe2,1T-TiS2,0.1,0.26,0.61
2H-WS2,1T-TiS2,0.37,0.63,0.34
1T-YbI2,2H-GeI2,1.23,1.34,1.13
2H-ZrCl2,1T-ZnBr2,1.37,1.49,3.25
2H-MoTe2,1T-ZnI2,1.39,1.67,1.19
2H-WSe2,1T-ZnI2,1.61,1.95,0.98
2H-WTe2,1T-ZnI2,1.06,1.42,1.52
2H-ZrCl2,1T-ZnI2,0.72,0.88,1.86
1T-ZrSe2,1T-ZrS2,0.9,1.38,1.05
2H-MoS2,1T-ZrS2,1.19,1.36,0.76
2H-MoSe2,1T-ZrS2,0.56,0.88,1.39
2H-WS2,1T-ZrS2,0.83,1.01,1.12
2H-WSe2,1T-ZrS2,0.21,0.62,1.74
2H-MoSe2,1T-ZrSe2,0.6,0.77,0.34
2H-MoTe2,1T-ZrSe2,0.04,0.21,0.91
2H-WS2,1T-ZrSe2,0.87,1.11,0.07
2H-WSe2,1T-ZrSe2,0.25,0.43,0.69
2H-MoSe2,2H-GeI2,1.85,2.12,0.51
2H-MoTe2,2H-GeI2,1.29,1.55,1.07
2H-WSe2,2H-GeI2,1.51,1.81,0.86
2H-WTe2,2H-GeI2,0.96,1.33,1.4
2H-MoSe2,2H-MoS2,1.6,1.96,0.63
2H-MoTe2,2H-MoS2,1.03,1.42,1.19
2H-WSe2,2H-MoS2,1.25,1.62,0.98
2H-WTe2,2H-MoS2,0.7,1.13,1.52
2H-MoSe2,2H-WS2,1.92,2.14,0.27
2H-ZrCl2,2H-MoSe2,0.71,0.96,1.23
2H-ZrCl2,2H-MoTe2,0.83,1.16,0.67
2H-WSe2,2H-WS2,1.57,1.81,0.62
2H-WTe2,2H-WS2,1.03,1.33,1.17
2H-ZrCl2,2H-WSe2,0.99,1.14,0.89
2H-ZrCl2,2H-WTe2,0.96,1.34,0.34
2H-MoS2,1T-CdBr2,2.22,2.22,1.5
2H-MoSe2,1T-CdBr2,1.95,1.95,2.13
2H-MoTe2,1T-CdBr2,1.5,1.5,2.69
2H-WS2,1T-CdBr2,2.2,2.2,1.85
1T-CdI2,1T-CdCl2,2.99,3.36,2.31
1T-GeBr2,1T-CdCl2,3.09,3.61,1.63
1T-GeI2,1T-CdCl2,2.64,3.05,2.52
