ml_a,ml_b,bilayer_eg_eV,delta_ev_eV,delta_ec_eV
1T-HfSe2,1T-PtS2,1.1,2.02,0.9
1T-HfSe2,1T-ZnBr2,1.1,2.02,1.81
1T-HfSe2,1T-ZnCl2,1.1,2.02,2.78
1T-HfSe2,1T-ZnI2,1.1,2.02,0.42
1T-HfSe2,2H-GeI2,1.1,2.02,0.3
1T-HfSe2,2H-MoS2,1.1,2.02,0.42
1T-HfSe2,2H-WS2,1.1,2.02,0.07
1T-HgBr2,1T-MgBr2,3.79,3.79,0.47
1T-HgBr2,1T-MgCl2,3.79,3.79,1.53
1T-PbI2,1T-HgBr2,2.65,2.91,0.97
1T-PdTe2,1T-HgBr2,0.09,0.83,3.24
1T-PtS2,1T-HgBr2,2.65,2.79,0.77
1T-PtSe2,1T-HgBr2,1.72,2.08,1.84
1T-SnS2,1T-HgBr2,2.48,2.75,0.24
1T-SnSe2,1T-HgBr2,1.44,1.81,1.07
1T-TiS2,1T-HgBr2,0.71,1.11,1.27
1T-HgBr2,1T-ZnBr2,3.79,3.79,0.13
1T-HgBr2,1T-ZnCl2,3.79,3.79,1.11
1T-ZrS2,1T-HgBr2,1.95,2.56,0.49
1T-ZrSe2,1T-HgBr2,0.94,1.68,1.54
2H-GeI2,1T-HgBr2,2.36,2.93,1.37
2H-MoS2,1T-HgBr2,2.22,2.22,1.25
1T-MgBr2,1T-MgCl2,5.86,5.86,1.06
1T-MgI2,1T-MgBr2,4.16,4.64,1.44
1T-OTl2,1T-MgBr2,1.51,1.51,2.76
1T-PbI2,1T-MgBr2,2.65,2.91,1.44
1T-PdTe2,1T-MgBr2,0.09,0.83,3.71
1T-PtO2,1T-MgBr2,3.5,3.95,0.12
1T-PtS2,1T-MgBr2,2.65,2.79,1.24
1T-PtSe2,1T-MgBr2,1.72,2.08,2.31
1T-PtTe2,1T-MgBr2,0.62,1.31,3.64
1T-STl2,1T-MgBr2,1.89,2.07,3.01
1T-SnS2,1T-MgBr2,2.48,2.75,0.71
1T-SnSe2,1T-MgBr2,1.44,1.81,1.54
1T-TiS2,1T-MgBr2,0.71,1.11,1.74
1T-YbI2,1T-MgBr2,2.35,2.4,2.98
1T-ZnBr2,1T-MgBr2,4.61,4.73,0.34
1T-ZnI2,1T-MgBr2,2.59,3.01,1.72
1T-ZrS2,1T-MgBr2,1.95,2.56,0.96
1T-ZrSe2,1T-MgBr2,0.94,1.68,2.01
2H-GeI2,1T-MgBr2,2.36,2.93,1.84
2H-MoS2,1T-MgBr2,2.22,2.22,1.72
2H-MoSe2,1T-MgBr2,1.95,1.95,2.35
2H-MoTe2,1T-MgBr2,1.5,1.5,2.91
2H-WS2,1T-MgBr2,2.2,2.2,2.08
2H-WSe2,1T-MgBr2,1.88,1.88,2.7
2H-WTe2,1T-MgBr2,1.3,1.3,3.24
2H-ZrCl2,1T-MgBr2,1.55,2.29,3.59
1T-MgI2,1T-MgCl2,4.16,4.64,2.5
1T-OTl2,1T-MgCl2,1.51,1.51,3.81
1T-PbI2,1T-MgCl2,2.65,2.91,2.49
1T-PdTe2,1T-MgCl2,0.09,0.83,4.77
1T-PtO2,1T-MgCl2,3.5,3.95,1.17
1T-PtS2,1T-MgCl2,2.65,2.79,2.3
1T-PtSe2,1T-MgCl2,1.72,2.08,3.36
1T-PtTe2,1T-MgCl2,0.62,1.31,4.7
1T-STl2,1T-MgCl2,1.89,2.07,4.06
1T-SnS2,1T-MgCl2,2.48,2.75,1.76
1T-SnSe2,1T-MgCl2,1.44,1.81,2.6
1T-TiS2,1T-MgCl2,0.71,1.11,2.8
1T-YbI2,1T-MgCl2,2.35,2.4,4.03
1T-ZnBr2,1T-MgCl2,4.61,4.73,1.4
1T-ZnCl2,1T-MgCl2,6.12,6.12,0.42
1T-ZnI2,1T-MgCl2,2.59,3.01,2.78
1T-ZrS2,1T-MgCl2,1.95,2.56,2.02
1T-ZrSe2,1T-MgCl2,0.94,1.68,3.07
2H-GeI2,1T-MgCl2,2.36,2.93,2.9
2H-MoS2,1T-MgCl2,2.22,2.22,2.78
2H-MoSe2,1T-MgCl2,1.95,1.95,3.41
2H-MoTe2,1T-MgCl2,1.5,1.5,3.97
2H-WS2,1T-MgCl2,2.2,2.2,3.13
2H-WSe2,1T-MgCl2,1.88,1.88,3.76
2H-WTe2,1T-MgCl2,1.3,1.3,4.3
2H-ZrCl2,1T-MgCl2,1.55,2.29,4.64
1T-OTl2,1T-MgI2,1.51,1.51,1.32
1T-PdTe2,1T-MgI2,0.09,0.83,2.27
1T-PtSe2,1T-MgI2,1.72,2.08,0.87
1T-PtTe2,1T-MgI2,0.62,1.31,2.2
1T-STl2,1T-MgI2,1.89,2.07,1.57
1T-SnSe2,1T-MgI2,1.44,1.81,0.1
1T-TiS2,1T-MgI2,0.71,1.11,0.3
1T-YbI2,1T-MgI2,2.35,2.4,1.54
1T-ZnI2,1T-MgI2,2.59,3.01,0.28
1T-ZrSe2,1T-MgI2,0.94,1.68,0.57
2H-GeI2,1T-MgI2,2.36,2.93,0.4
2H-MoS2,1T-MgI2,2.22,2.22,0.28
2H-MoSe2,1T-MgI2,1.95,1.95,0.91
2H-MoTe2,1T-MgI2,1.5,1.5,1.47
2H-WS2,1T-MgI2,2.2,2.2,0.64
2H-WSe2,1T-MgI2,1.88,1.88,1.26
2H-WTe2,1T-MgI2,1.3,1.3,1.8
2H-ZrCl2,1T-MgI2,1.55,2.29,2.14
1T-PdTe2,1T-OTl2,0.09,0.83,0.96
1T-OTl2,1T-ZnBr2,1.51,1.51,2.42
1T-OTl2,1T-ZnCl2,1.51,1.51,3.39
1T-OTl2,1T-ZnI2,1.51,1.51,1.04
1T-OTl2,2H-MoSe2,1.51,1.51,0.41
1T-OTl2,2H-WS2,1.51,1.51,0.68
1T-OTl2,2H-WSe2,1.51,1.51,0.06
1T-PdTe2,1T-PbI2,0.09,0.83,2.28
1T-PtSe2,1T-PbI2,1.72,2.08,0.87
1T-SnSe2,1T-PbI2,1.44,1.81,0.1
1T-TiS2,1T-PbI2,0.71,1.11,0.3
1T-PbI2,1T-ZnBr2,2.65,2.91,1.1
1T-PbI2,1T-ZnCl2,2.65,2.91,2.08
1T-ZrSe2,1T-PbI2,0.94,1.68,0.57
2H-MoS2,1T-PbI2,2.22,2.22,0.28
1T-PdTe2,1T-PtS2,0.09,0.83,2.47
1T-PdTe2,1T-PtSe2,0.09,0.83,1.41
1T-PdTe2,1T-PtTe2,0.09,0.83,0.07
1T-PdTe2,1T-STl2,0.09,0.83,0.71
1T-PdTe2,1T-YbI2,0.09,0.83,0.74
1T-PdTe2,1T-ZnBr2,0.09,0.83,3.37
1T-PdTe2,1T-ZnCl2,0.09,0.83,4.35
1T-PdTe2,1T-ZnI2,0.09,0.83,1.99
1T-PdTe2,2H-GeI2,0.09,0.83,1.87
1T-PdTe2,2H-MoS2,0.09,0.83,1.99
1T-PdTe2,2H-MoSe2,0.09,0.83,1.36
1T-PdTe2,2H-MoTe2,0.09,0.83,0.8
1T-PdTe2,2H-WS2,0.09,0.83,1.64
1T-PdTe2,2H-WSe2,0.09,0.83,1.01
1T-PdTe2,2H-WTe2,0.09,0.83,0.47
1T-PdTe2,2H-ZrCl2,0.09,0.83,0.13
1T-SnS2,1T-PtO2,2.48,2.75,0.59
1T-SnSe2,1T-PtO2,1.44,1.81,1.42
1T-TiS2,1T-PtO2,0.71,1.11,1.62
1T-PtO2,1T-ZnCl2,3.5,3.95,0.75
1T-ZrS2,1T-PtO2,1.95,2.56,0.84
1T-ZrSe2,1T-PtO2,0.94,1.68,1.89
1T-SnSe2,1T-PtS2,1.44,1.81,0.3
1T-TiS2,1T-PtS2,0.71,1.11,0.5
1T-PtS2,1T-ZnBr2,2.65,2.79,0.9
1T-PtS2,1T-ZnCl2,2.65,2.79,1.88
1T-ZrSe2,1T-PtS2,0.94,1.68,0.77
1T-PtSe2,1T-ZnBr2,1.72,2.08,1.97
1T-PtSe2,1T-ZnCl2,1.72,2.08,2.94
1T-PtSe2,1T-ZnI2,1.72,2.08,0.58
1T-PtSe2,2H-GeI2,1.72,2.08,0.46
1T-PtSe2,2H-WS2,1.72,2.08,0.23
1T-PtTe2,1T-STl2,0.62,1.31,0.63
1T-PtTe2,1T-YbI2,0.62,1.31,0.66
1T-PtTe2,1T-ZnBr2,0.62,1.31,3.3
1T-PtTe2,1T-ZnCl2,0.62,1.31,4.28
1T-PtTe2,1T-ZnI2,0.62,1.31,1.92
1T-PtTe2,2H-MoSe2,0.62,1.31,1.29
1T-PtTe2,2H-MoTe2,0.62,1.31,0.73
1T-PtTe2,2H-WS2,0.62,1.31,1.56
1T-PtTe2,2H-WSe2,0.62,1.31,0.94
1T-PtTe2,2H-WTe2,0.62,1.31,0.4
1T-PtTe2,2H-ZrCl2,0.62,1.31,0.05
1T-STl2,1T-YbI2,1.89,2.07,0.03
1T-STl2,1T-ZnBr2,1.89,2.07,2.67
1T-STl2,1T-ZnCl2,1.89,2.07,3.64
2H-WTe2,1T-STl2,1.3,1.3,0.24
1T-SnSe2,1T-SnS2,1.44,1.81,0.83
1T-TiS2,1T-SnS2,0.71,1.11,1.03
1T-SnS2,1T-ZnBr2,2.48,2.75,0.37
1T-SnS2,1T-ZnCl2,2.48,2.75,1.34
1T-ZrS2,1T-SnS2,1.95,2.56,0.25
1T-ZrSe2,1T-SnS2,0.94,1.68,1.3
1T-TiS2,1T-SnSe2,0.71,1.11,0.2
1T-SnSe2,1T-ZnBr2,1.44,1.81,1.2
1T-SnSe2,1T-ZnCl2,1.44,1.81,2.18
1T-ZrSe2,1T-SnSe2,0.94,1.68,0.47
1T-TiS2,1T-ZnBr2,0.71,1.11,1.4
1T-TiS2,1T-ZnCl2,0.71,1.11,2.38
1T-TiS2,1T-ZnI2,0.71,1.11,0.02
1T-TiS2,1T-ZrS2,0.71,1.11,0.78
1T-TiS2,2H-MoS2,0.71,1.11,0.02
1T-YbI2,1T-ZnCl2,2.35,2.4,3.61
2H-WTe2,1T-YbI2,1.3,1.3,0.27
2H-ZrCl2,1T-YbI2,1.55,2.29,0.61
1T-ZnBr2,1T-ZnCl2,4.61,4.73,0.98
1T-ZnI2,1T-ZnBr2,2.59,3.01,1.38
1T-ZrS2,1T-ZnBr2,1.95,2.56,0.62
1T-ZrSe2,1T-ZnBr2,0.94,1.68,1.67
2H-GeI2,1T-ZnBr2,2.36,2.93,1.5
2H-MoS2,1T-ZnBr2,2.22,2.22,1.38
2H-MoSe2,1T-ZnBr2,1.95,1.95,2.01
2H-MoTe2,1T-ZnBr2,1.5,1.5,2.58
2H-WS2,1T-ZnBr2,2.2,2.2,1.74
2H-WSe2,1T-ZnBr2,1.88,1.88,2.36
2H-WTe2,1T-ZnBr2,1.3,1.3,2.9
1T-ZnI2,1T-ZnCl2,2.59,3.01,2.36
1T-ZrS2,1T-ZnCl2,1.95,2.56,1.6
1T-ZrSe2,1T-ZnCl2,0.94,1.68,2.65
2H-GeI2,1T-ZnCl2,2.36,2.93,2.48
2H-MoS2,1T-ZnCl2,2.22,2.22,2.36
2H-MoSe2,1T-ZnCl2,1.95,1.95,2.99
2H-MoTe2,1T-ZnCl2,1.5,1.5,3.55
2H-WS2,1T-ZnCl2,2.2,2.2,2.71
2H-WSe2,1T-ZnCl2,1.88,1.88,3.34
2H-WTe2,1T-ZnCl2,1.3,1.3,3.88
2H-ZrCl2,1T-ZnCl2,1.55,2.29,4.22
1T-ZrSe2,1T-ZnI2,0.94,1.68,0.29
2H-GeI2,1T-ZnI2,2.36,2.93,0.12
2H-MoS2,1T-ZnI2,2.22,2.22,0.0
2H-MoSe2,1T-ZnI2,1.95,1.95,0.63
2H-WS2,1T-ZnI2,2.2,2.2,0.36
1T-ZrSe2,2H-GeI2,0.94,1.68,0.16
1T-ZrSe2,2H-MoS2,0.94,1.68,0.29
2H-MoTe2,2H-WSe2,1.5,1.5,0.21
2H-WTe2,2H-WSe2,1.3,1.3,0.54
